name,email,phone,address,gender,qualification,experience_years,rating,fees_inr,success_rate,position,img_url,legal_issues
Charvi Bhasin,abhiram73@example.com,00562728105,"H.No. 930, Mangal Marg, Bijapur-535739",other,Advocate,27,4.31,6572,0.6,Senior Lawyer,https://randomuser.me/api/portraits/women/75.jpg,cyber_bullying
Arjun Pillay,mekhalahayer@example.net,01712510009,"H.No. 30, Borde Path, Visakhapatnam 468667",female,Advocate,14,3.05,12373,0.71,Consultant,https://randomuser.me/api/portraits/women/97.jpg,domestic_violence|consumer_rights|dowry
Nilima Sampath,jagat96@example.org,3076122342,"H.No. 965, Balakrishnan Nagar, Latur-632059",female,Advocate,6,3.57,3792,0.98,Associate Lawyer,https://randomuser.me/api/portraits/women/81.jpg,harassment|cyber_bullying
Gautami Soman,chadamohini@example.net,+916594673925,"46/426, Bobal Street, Jabalpur 750313",male,LLM,39,3.22,5067,0.69,Consultant,https://randomuser.me/api/portraits/men/83.jpg,child_custody|bribery_corruption|workplace_discrimination
Wyatt Atwal,chanakya84@example.com,+912251652481,"75, Hans Street, Siwan-578717",male,Advocate,34,3.8,5785,0.69,Partner,https://randomuser.me/api/portraits/men/52.jpg,domestic_violence|consumer_rights|workplace_discrimination
Idika Pant,subramaniamaayush@example.net,9394275263,"659, Sarna Street, Imphal 406052",female,LLB,23,3.81,16371,0.72,Consultant,https://randomuser.me/api/portraits/women/47.jpg,workplace_discrimination|dowry
Ijaya Prashad,vasatika36@example.com,02785947233,"H.No. 49, Vohra Marg, Nanded 333908",female,Advocate,1,4.9,10187,0.75,Senior Lawyer,https://randomuser.me/api/portraits/women/38.jpg,harassment|cyber_crime
Anmol Reddy,chawlasara@example.org,02604049777,"225, Varma Chowk, Akola 837277",other,Senior Advocate,26,4.17,13337,0.75,Senior Lawyer,https://randomuser.me/api/portraits/women/74.jpg,domestic_violence
Pranav Nadkarni,yuvrajpillai@example.net,2773123304,"33/162, Kuruvilla Street, Aurangabad 822077",female,Advocate,20,4.03,17514,0.82,Partner,https://randomuser.me/api/portraits/women/4.jpg,dowry|bribery_corruption|rent_eviction
Zehaan Sethi,aashisehgal@example.com,9930569083,"67, Golla Zila, Mau 784420",male,Advocate,31,3.05,19767,0.91,Associate Lawyer,https://randomuser.me/api/portraits/men/62.jpg,domestic_violence
Jyoti Patel,lipika85@example.org,06924149645,"H.No. 33, Borah Path, Bhimavaram-244824",female,PhD in Law,1,4.81,10201,0.62,Partner,https://randomuser.me/api/portraits/women/47.jpg,consumer_rights|rent_eviction
Xalak Bal,advay65@example.com,08380486697,"62, Jain Nagar, Parbhani 902394",other,LLM,3,3.6,9260,0.85,Associate Lawyer,https://randomuser.me/api/portraits/women/87.jpg,child_custody
Hredhaan Sule,netra99@example.com,03668106397,"H.No. 008, Mander Circle, Khammam-149830",female,Advocate,33,4.36,7393,0.57,Partner,https://randomuser.me/api/portraits/women/1.jpg,property_dispute|child_custody|labor_rights_violation
Ria Dua,tatahardik@example.com,04799069713,"H.No. 08, Warrior Ganj, Dewas-119552",male,PhD in Law,5,4.95,2806,0.89,Associate Lawyer,https://randomuser.me/api/portraits/men/79.jpg,bribery_corruption
Xalak Goel,georgebuch@example.com,4653758978,"17, Badami Nagar, Ambarnath 566289",male,LLM,28,3.94,15083,0.95,Senior Lawyer,https://randomuser.me/api/portraits/men/19.jpg,rent_eviction|domestic_violence|FIR_denial
Warhi Chaudry,guhaati@example.org,07780262355,"H.No. 271, Date Chowk, Secunderabad-113191",male,LLB,29,3.22,8028,0.78,Consultant,https://randomuser.me/api/portraits/men/61.jpg,FIR_denial|child_custody
Anita Grewal,issacbishakha@example.net,06883166984,"H.No. 78, Lad Path, Erode 293793",male,PhD in Law,13,3.2,7469,0.78,Consultant,https://randomuser.me/api/portraits/men/26.jpg,cyber_bullying|harassment
Hamsini Varkey,tandonlogan@example.net,+914454273189,"H.No. 958, Sastry Chowk, Bikaner-464100",other,LLM,9,4.35,19735,0.63,Consultant,https://randomuser.me/api/portraits/women/67.jpg,property_dispute|labor_rights_violation|FIR_denial
Ranveer Seth,urvisingh@example.org,9984616529,"H.No. 96, Tripathi Street, Bhalswa Jahangir Pur 066207",male,LLB,36,4.8,12651,0.84,Associate Lawyer,https://randomuser.me/api/portraits/men/15.jpg,bribery_corruption|workplace_discrimination
Qabil Chandran,cbawa@example.org,+914272435290,"H.No. 514, Sawhney Circle, Tumkur-875906",female,LLB,27,4.47,3838,0.91,Partner,https://randomuser.me/api/portraits/women/16.jpg,harassment|cyber_bullying
Ishani Goyal,daniimaran@example.com,+917092491983,"80, Shetty Street, Asansol 889447",male,LLB,14,3.42,5911,0.89,Associate Lawyer,https://randomuser.me/api/portraits/men/50.jpg,bribery_corruption
Bakhshi Prabhu,bmohan@example.com,9402947142,"609, Sangha Chowk, Dehradun 314923",male,PhD in Law,25,4.96,6068,0.58,Legal Advisor,https://randomuser.me/api/portraits/men/65.jpg,cyber_bullying
George Bassi,ramanyutika@example.net,2181969629,"145, Kurian Ganj, Yamunanagar 114940",other,LLB,5,3.56,2645,0.92,Legal Advisor,https://randomuser.me/api/portraits/women/85.jpg,dowry|workplace_discrimination|property_dispute
Chakradev Samra,chaudhuribenjamin@example.com,1659787517,"40, Sahni Chowk, Gulbarga 819368",other,Advocate,15,3.13,18582,0.91,Senior Lawyer,https://randomuser.me/api/portraits/women/85.jpg,FIR_denial|property_dispute
Ria Narang,guhachaman@example.com,9486084174,"22, Mane Ganj, Alwar-603240",other,Advocate,14,3.91,11487,0.76,Associate Lawyer,https://randomuser.me/api/portraits/women/1.jpg,labor_rights_violation|harassment|cyber_bullying
Anamika Atwal,dhritikorpal@example.net,05260004295,"32/81, Vaidya Path, Anand 390973",other,Advocate,7,3.44,15582,0.71,Partner,https://randomuser.me/api/portraits/women/65.jpg,rent_eviction
Varsha Pal,riawagle@example.com,4765206283,"57, Bhatti Marg, Jamalpur-126504",male,PhD in Law,35,3.69,17263,0.63,Partner,https://randomuser.me/api/portraits/men/77.jpg,workplace_discrimination|child_custody|consumer_rights
Xiti Bumb,sacharbahadurjit@example.net,07800146455,"467, Taneja, Satara 498092",other,LLB,22,3.81,4515,0.66,Partner,https://randomuser.me/api/portraits/women/59.jpg,child_custody|consumer_rights|domestic_violence
Patrick Babu,yuvraj36@example.net,7223297666,"691, Barad Marg, Siliguri-109688",male,LLM,36,3.6,5227,0.68,Partner,https://randomuser.me/api/portraits/men/48.jpg,dowry|rent_eviction|cyber_bullying
Nakul Bobal,qdesai@example.net,02146356282,"88/914, Suri Road, Madhyamgram 083476",other,LLM,19,4.87,5224,0.81,Associate Lawyer,https://randomuser.me/api/portraits/women/46.jpg,domestic_violence
Jagrati Comar,gkar@example.org,07614412732,"31/458, Das Circle, Bhatpara-489255",other,Advocate,28,4.86,11671,0.52,Partner,https://randomuser.me/api/portraits/women/24.jpg,cyber_crime
Dipta Mishra,iyengaraashi@example.net,6064794875,"H.No. 89, Deo Circle, Tirunelveli 223326",male,LLM,34,4.3,14332,0.55,Legal Advisor,https://randomuser.me/api/portraits/men/26.jpg,consumer_rights
Brinda Dua,yoshita51@example.org,+915100951501,"H.No. 87, Bhakta Marg, Satna 346993",male,Advocate,30,3.02,19206,0.65,Associate Lawyer,https://randomuser.me/api/portraits/men/92.jpg,workplace_discrimination|rent_eviction|cyber_bullying
Vrinda Bhandari,oviya74@example.org,06500914345,"13, Doctor, Jorhat-576541",other,Advocate,11,4.28,10552,0.61,Legal Advisor,https://randomuser.me/api/portraits/women/35.jpg,child_custody|bribery_corruption
Samar Suresh,lalanya@example.com,06985914050,"24/612, Misra Zila, Darbhanga 737246",female,Senior Advocate,37,3.22,12604,0.99,Senior Lawyer,https://randomuser.me/api/portraits/women/11.jpg,child_custody|property_dispute|labor_rights_violation
Damyanti Gulati,scontractor@example.net,+912065392762,"H.No. 66, Nayak Chowk, Kumbakonam 837999",female,Advocate,10,3.93,5172,0.54,Legal Advisor,https://randomuser.me/api/portraits/women/73.jpg,domestic_violence|child_custody|consumer_rights
Shaurya Rao,gagan54@example.com,03098727512,"65, Deshmukh Street, Durgapur 422297",male,Advocate,2,4.01,17043,0.51,Partner,https://randomuser.me/api/portraits/men/30.jpg,consumer_rights|labor_rights_violation
Qasim Joshi,chaayakala@example.com,+914515430372,"86/131, Dar Chowk, Sirsa-356558",other,Senior Advocate,21,3.54,8871,0.69,Senior Lawyer,https://randomuser.me/api/portraits/women/65.jpg,consumer_rights|FIR_denial
Watika Taneja,ridhi15@example.com,+913595324282,"H.No. 13, Prashad Street, Indore 403238",female,PhD in Law,1,4.72,9050,0.65,Legal Advisor,https://randomuser.me/api/portraits/women/83.jpg,domestic_violence
Janaki Das,cchatterjee@example.com,00541805406,"H.No. 336, Raju Road, Mangalore-602583",male,PhD in Law,16,4.93,14098,0.52,Associate Lawyer,https://randomuser.me/api/portraits/men/56.jpg,property_dispute
Irya Wason,xdube@example.org,+912748430202,"46/287, Kota Ganj, Sambhal-252499",male,Senior Advocate,11,3.26,7922,0.64,Partner,https://randomuser.me/api/portraits/men/18.jpg,FIR_denial|labor_rights_violation|harassment
Nidra Naik,qbajwa@example.org,0966076623,"26/175, Sampath Zila, Gudivada 350220",female,Senior Advocate,15,4.29,5291,0.86,Partner,https://randomuser.me/api/portraits/women/48.jpg,dowry
Ekaja Patla,gshan@example.com,06591497746,"H.No. 891, Bhavsar Street, Tadepalligudem-898174",other,Senior Advocate,9,4.91,17875,0.77,Legal Advisor,https://randomuser.me/api/portraits/women/91.jpg,harassment
Maya Ramanathan,mammennathan@example.net,4100488751,"22/94, Narang Nagar, Nizamabad 802038",female,Advocate,25,4.19,16321,0.53,Consultant,https://randomuser.me/api/portraits/women/39.jpg,cyber_crime|FIR_denial
Dakshesh Kunda,ryanbedi@example.net,+911686178153,"86, Gala Ganj, Jamalpur 767096",female,Advocate,5,3.34,12963,0.57,Consultant,https://randomuser.me/api/portraits/women/59.jpg,domestic_violence|cyber_bullying
